sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
MAIAMAALOLEDP80,MAISON ALHAMBRA,MAISON ALHAMBRA OLIVIA MUJER EDP 80 ML (M),,EDP,Mujer,80,,13791,19990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-olivia-mujer-edp-100-ml-m,2026-05-30
RIHRIROLOEDP125,RIHANNA,RIHANNA ROGUE LOVE EDP 125 ML (M),,EDP,Mujer,125,,23741,58990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/rihanna-rogue-love-edp-125-ml-m,2026-05-30
LACLABLLBEDT175,LACOSTE,LACOSTE BLANCO L.12.12 BLANC EDT 175 ML (H),,EDT,Hombre,175,,50341,131990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lacoste-blanco-l-12-12-blanc-edt-175-ml-h,2026-05-30
VERVETHDREDT100,VERSACE,VERSACE THE DREAMER EDT TESTER 100 ML (H),,EDT,Mujer,100,,22530,54990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/versace-the-dreamer-edt-tsester-100-ml-h,2026-05-30
ELIELSWLOPAR50,ELIVI,ELIVI SWEET LONDON EXTRAIT PARFUM 50 ML (U),,PARFUM,Hombre,50,,169990,228990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/elivi-elivi-sweet-london-extrait-parfum-50-ml-u,2026-05-30
ELIELSIEXPAR50,ELIVI,ELIVI SIBORA EXTRAIT PARFUM 50 ML (U),,PARFUM,Hombre,50,,169990,228990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/elivi-elivi-sibora-extrait-parfum-50-ml-u,2026-05-30
VIKRVIROFLEDP50,VIKTOR & ROLF,VIKTOR & ROLF FLOWERBOMB EDP 50 ML (M),,EDP,Mujer,50,,79791,99990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/victor-rolf-flowerbomb-edp-50-ml-m,2026-05-30
DUMDUNIGREDP100,DUMONT,DUMONT NITRO GREEN POUR HOMME EDP 100 ML (H) TESTER,,EDP,Hombre,100,,19990,26990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/dumont-dumont-dumont-nitro-green-pour-homme-edp-100-ml-h-tester,2026-05-30
CUBCUCUBREDT35,CUBA,CUBA CUBA BROWN EDT 35 ML (H),,EDT,Hombre,35,,2999,3990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/cuba-cuba-brown-edt-35-ml-h,2026-05-30
SABCSACACAEDP75,SABRINA CARPENTER,SABRINA CARPENTER CARAMEL EDP 75ML TESTER (M),,EDP,Mujer,75,,94991,134987,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/sabrina-carpenter-caramel-edp-75ml-tester-m,2026-05-30
