sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
MAIAALOVSPUNK150,MAISON ALHAMBRA,ALL OVER SPRAY MAISON ALHAMBRA NO.2 MEN 150 ML HOMBRE,,Unknown,Hombre,150,,10990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/maison-alhambra-tienda/all-over-spray-maison-alhambra-no-2-men-150-ml-hombre/,2026-05-30
ARMARODWIEDP100,ARMAF,ARMAF ODYSSEY WILD ONE GOLD EDITION EDP 100ML,,EDP,Hombre,100,,20500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/armaf-odyssey-wild-one-gold-edition-edp-100ml/,2026-05-30
ARMARTAHIUNK100,ARMAF,ARMAF TAG HIM 100ML HOMBRE,,Unknown,Hombre,100,,18990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/perfume-armaf-tag-him-100-ml-hombre-aroma-como-bleu-de-channel/,2026-05-30
ARMBOMIARUNK125,ARMAF,BODY MIST ARMAF CLUB DE NUIT SILLAGE 125ML HOMBRE -BODY MIST,,Unknown,Hombre,125,,6990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-club-de-nuit-sillage-125ml-hombre-body-mist/,2026-05-30
ARMBOMIARUNK250,ARMAF,BODY MIST ARMAF HUNTER FOR MEN INTENSE 250ML HOMBRE -BODY MIST,,Unknown,Hombre,250,,8500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-hunter-for-men-intense-250ml-hombre-body-mist/,2026-05-30
ARMBOMIARUNK250,ARMAF,BODY MIST ARMAF ODYSSEY AQUA 250ML HOMBRE,,Unknown,Hombre,250,,8500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-odyssey-aqua-250ml-hombre/,2026-05-30
ARMBOMIARUNK250,ARMAF,BODY MIST ARMAF ODYSSEY HOMME 250ML HOMBRE,,Unknown,Hombre,250,,8500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-odyssey-homme-250ml-hombre/,2026-05-30
ARMBOMIARUNK250,ARMAF,BODY MIST ARMAF ODYSSEY HOMME WHITE EDITION 250ML HOMBRE,,Unknown,Hombre,250,,8500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-odyssey-homme-white-edition-250ml-hombre/,2026-05-30
ARMBOMIARUNK250,ARMAF,BODY MIST ARMAF ODYSSEY MEGA EDITION 250ML HOMBRE,,Unknown,Hombre,250,,8500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-mist-armaf-odyssey-mega-edition-250ml-hombre/,2026-05-30
DUMBOSPDUUNK250,DUMONT,BODY SPLASH DUMONT NITRO BLACK 250 ML HOMBRE,,Unknown,Hombre,250,,8990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/dumont/body-splash-dumont-nitro-black-250-ml-hombre/,2026-05-30
DUMBOSPDUUNK250,DUMONT,BODY SPLASH DUMONT NITRO PLATINUM 250 ML HOMBRE,,Unknown,Hombre,250,,8990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/dumont/body-splash-dumont-nitro-platinum-250-ml-hombre/,2026-05-30
DUMBOSPDUUNK250,DUMONT,BODY SPLASH DUMONT NITRO RED 250 ML HOMBRE,,Unknown,Hombre,250,,8990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/dumont/body-splash-dumont-nitro-red-250-ml-hombre/,2026-05-30
ARMBOSPARPER125,ARMAF,BODY SPRAY ARMAF CLUB DE NUIT URBAN MAN ELIXIR PERFUME 125ML HOMBRE,,PERFUME,Hombre,125,,7500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-spray-armaf-club-de-nuit-urban-man-elixir-perfume-125ml-hombre/,2026-05-30
MAIABOSPMAPER150,MAISON ALHAMBRA,BODY SPRAY MAISON ALHAMBRA MAITRE DE BLUE ALL OVER PERFUME 150ML HOMBRE,,PERFUME,Hombre,150,,9500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/maison-alhambra-tienda/body-spray-maison-alhambra-maitre-de-blue-all-over-perfume-150ml-hombre/,2026-05-30
MAIABOSPMAPER150,MAISON ALHAMBRA,BODY SPRAY MAISON ALHAMBRA SALVO ALL OVER PERFUME 150ML HOMBRE,,PERFUME,Hombre,150,,9500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/maison-alhambra-tienda/body-spray-maison-alhambra-salvo-all-over-perfume-150ml-hombre/,2026-05-30
MAIABOSPMAPER150,MAISON ALHAMBRA,BODY SPRAY MAISON ALHAMBRA YEAH MAN ALL OVER PERFUME 150 ML HOMBRE,,PERFUME,Hombre,150,,9500,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/maison-alhambra-tienda/body-spray-maison-alhambra-yeah-man-all-over-perfume-150-ml-hombre/,2026-05-30
ARMDEARCLEDP200,ARMAF,DESODORANTE ARMAF CLUB DE NUIT ICONIC 200ML EDP HOMBRE,,EDP,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-spray-armaf-club-de-nuit-iconic-200ml-edp-hombre/,2026-05-30
ARMDEARCLEDP200,ARMAF,DESODORANTE ARMAF CLUB DE NUIT SILLAGE 200ML EDP HOMBRE,,EDP,Hombre,200,,2800,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/body-spray-armaf-club-de-nuit-sillage-200ml-edp-hombre/,2026-05-30
ARMDEARODUNK200,ARMAF,DESODORANTE ARMAF ODYSSEY AOUD EDITION BODY SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2000,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-aoud-edition-body-spray-200-ml-hombre/,2026-05-30
ARMDEARODPER200,ARMAF,DESODORANTE ARMAF ODYSSEY BLACK FOREST PERFUME BODY SPRAY 200 ML,,PERFUME,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-black-forest-perfume-body-spray-200-ml/,2026-05-30
ARMDEARODPER200,ARMAF,DESODORANTE ARMAF ODYSSEY MANDARIN SKY LIMITED EDITION PERFUME BODY SPRAY 200 ML HOMBRE,,PERFUME,Hombre,200,,3200,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-mandarin-sky-limited-edition-perfume-body-spray-200-ml-hombre/,2026-05-30
ARMDEARODPER200,ARMAF,DESODORANTE ARMAF ODYSSEY REVOLUTION ULTRA EDITION PERFUME BODY SPRAY 200 ML,,PERFUME,Hombre,200,,2990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-revolution-ultra-edition-perfume-body-spray-200-ml/,2026-05-30
ARMDEARODPER200,ARMAF,DESODORANTE ARMAF ODYSSEY TYRANT SPECIAL EDITION PERFUME BODY SPRAY 200 ML HOMBRE,,PERFUME,Hombre,200,,2690,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-tyrant-special-edition-perfume-body-spray-200-ml-hombre/,2026-05-30
ARMDEARODPER200,ARMAF,DESODORANTE ARMAF ODYSSEY WILD ONE GOLD EDITION PERFUME 200 ML HOMBRE,,PERFUME,Hombre,200,,2690,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/desodorante-armaf-odyssey-wild-one-gold-edition-perfume-200-ml-hombre/,2026-05-30
LATDELAASUNK200,LATTAFA,DESODORANTE LATTAFA ASAD BOURBON 200ML HOMBRE,,Unknown,Hombre,200,,2990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-asad-bourbon-200ml-hombre/,2026-05-30
LATDELAASUNK200,LATTAFA,DESODORANTE LATTAFA ASAD PERFUMED SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2300,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-asad-perfumed-spray-200-ml-hombre/,2026-05-30
LATDELAASUNK200,LATTAFA,DESODORANTE LATTAFA ASAD ZANZIBAR PERFUMED SPRAY 200 ML HOMBRE – AZUL,,Unknown,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-asad-zanzibar-perfumed-spray-200-ml-hombre-azul/,2026-05-30
LATDELAFAUNK200,LATTAFA,DESODORANTE LATTAFA FAKHAR HOMME PRIDE OF LATTAFA PERFUMED SPRAY 200 ML HOMBRE,,Unknown,Hombre,200,,2300,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-fakhar-homme-pride-of-lattafa-perfumed-spray-200-ml-hombre/,2026-05-30
LATDELAHAUNK200,LATTAFA,DESODORANTE LATTAFA HAYAATI AL MALEKY 200 ML HOMBRE,,Unknown,Hombre,200,,2700,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/lattafa/desodorante-lattafa-hayaati-al-maleky-200-ml-hombre/,2026-05-30
