sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
RASRAALGHEDP100,RASASI,RASASI AL GHALIA EDP 100 ML UNISEX,,EDP,Unisex,100,,4190000,6090000,True,lodoro.cl,https://www.lodoro.cl/products/rasasi-al-ghalia-edp-100-ml-mujer,2026-05-28
HUGBHUBOBOPAR100,HUGO BOSS,HUGO BOSS BOTTLED PARFUM SET 100 ML + 10 ML + SG 100 ML 3 PCS HOMBRE,,PARFUM,Hombre,100,,6290000,8699000,True,lodoro.cl,https://www.lodoro.cl/products/hugo-boss-bottled-parfum-set-100-ml-10-ml-sg-100-ml-3-pcs-hombre,2026-05-28
LATLAHAPEPER300,LATTAFA,LATAFFA HAYAATI PERFUME AMBIENTAL 300ML UNISEX,,PERFUME,Unisex,300,,249000,799000,True,lodoro.cl,https://www.lodoro.cl/products/lataffa-hayaati-perfume-ambiental-300ml-unisex,2026-05-28
LATLAHAALEDP100,LATTAFA,LATTAFA HAYAATI AL MALEKY EDP 100 ML UNISEX,,EDP,Unisex,100,,2690000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/lattafa-hayaati-al-maleky-edp-100-ml-unisex,2026-05-28
LATSELAHOEDP100,LATTAFA,SET LATTAFA HOMBRE ASAD EDP 100 ML + DEO SPRAY 200 ML SET 2 CPS,,EDP,Hombre,100,,2590000,5399000,True,lodoro.cl,https://www.lodoro.cl/products/set-lattafa-hombre-asad-edp-100-ml-deo-spray-200-ml-set-2-cps,2026-05-28
ARIGARGRMOUNK236,ARIANA GRANDE,ARIANA GRANDE MOD VANILLA BODY SPLASH 236ML MUJER,,Unknown,Mujer,236,,899000,1899000,True,lodoro.cl,https://www.lodoro.cl/products/ariana-grande-mod-vanilla-body-splash-236ml-mujer,2026-05-28
ARIGARGRMOUNK236,ARIANA GRANDE,ARIANA GRANDE MOD BLUSH BODY SPLASH 236ML MUJER,,Unknown,Mujer,236,,899000,1899000,True,lodoro.cl,https://www.lodoro.cl/products/ariana-grande-mod-blush-body-splash-236ml-mujer,2026-05-28
JESDJEDEPOEDT125,JESUS DEL POZO,JESUS DEL POZO HALLOWEEN MAN X EDT 125 ML HOMBRE,,EDT,Hombre,125,,3190000,3690000,True,lodoro.cl,https://www.lodoro.cl/products/jesus-del-pozo-halloween-man-x-edt-100ml-hombre,2026-05-28
RASRAHAICEDP100,RASASI,RASASI HAWAS ICE EDP 100 ML HOMBRE,,EDP,Hombre,100,,3390000,7499000,True,lodoro.cl,https://www.lodoro.cl/products/rasasi-hawas-ice-edp-100-ml-hombre,2026-05-28
ARIGARGRCLUNK236,ARIANA GRANDE,ARIANA GRANDE CLOUD MIST 236ML MUJER,,Unknown,Mujer,236,,899000,1449000,True,lodoro.cl,https://www.lodoro.cl/products/cloud-ariana-grande-body-splash-236-ml-mujer,2026-05-28
