sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
DONKBEDEFREDP100,DONNA KARAN NY,BE DELICIOUS FRESH BLOSSOM EDP 100 ML,,EDP,Unknown,100,,27000,59900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/be-delicious-fresh-blossom-edp-100-ml-donna-karan-ny,2026-05-29
RALLPOSPEDEDT125,RALPH LAUREN,POLO SPORT EDT 125 ML,,EDT,Unknown,125,,28000,72900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/polo-sport-edt-125-ml-ralph-lauren,2026-05-29
RALLRAEDMLEDT100,RALPH LAUREN,RALPH EDT 100 ML,,EDT,Unknown,100,,50000,76990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ralph-edt-100-ml-celeste-ralph-lauren,2026-05-29
ARMCLDENUEDT105,ARMAF,CLUB DE NUIT INTENSE MEN EDT 105 ML,,EDT,Hombre,105,,30000,54990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/club-de-nuit-intense-men-edt-105-ml-armaf,2026-05-29
CARHBABOEDEDT150,CAROLINA HERRERA,BAD BOY EDT 150 ML,,EDT,Hombre,150,,85000,119990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/bad-boy-edt-150-ml-carolina-herrera,2026-05-29
RALLPOBIPOEDT100,RALPH LAUREN,POLO BIG PONY 1 FOR MEN EDT 100 ML,,EDT,Hombre,100,,22000,64990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/polo-big-pony-1-for-men-edt-100-ml-ralph-lauren,2026-05-29
RALLPOBIPOEDT100,RALPH LAUREN,POLO BIG PONY 2 FOR WOMEN EDT 100 ML,,EDT,Mujer,100,,28000,64990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/polo-big-pony-2-for-women-edt-100-ml-ralph-lauren,2026-05-29
DONKDKGODEEDP100,DONNA KARAN NY,DKNY GOLDEN DELICIOUS EDP 100 ML,,EDP,Unknown,100,,27000,59990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/dkny-golden-delicious-edp-100-ml-donna-karan,2026-05-29
RALLPOBLEDEDT125,RALPH LAUREN,POLO BLUE EDT 125 ML RECARGABLE (TESTER,,EDT,Unknown,125,,42000,105900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/polo-blue-edt-125-ml-tester-probador-ralph-lauren,2026-05-29
PROMTOBUGUEDT100,PROBADOR MOSCHINO,TOY 2 BUBBLE GUM EDT 100 ML (TESTER,,EDT,Unknown,100,,32000,75990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/toy-2-bubble-gum-edt-100-ml-tester-probador-moschino,2026-05-29
